,Unnamed: 0,text,Preporcessed_Text
0,0,RT @OniJoseph: Angela Davis: ‘We knew the role of the police was to protect white supremacy’ #BlackHistoryMonth #cdnpolitics #cdnpoli #Blac…,rt onijoseph angela davis know role police protect white supremacy blackhistorymonth cdnpolitics cdnpoli blac
1,1,RT @hestertainment: Breonna Taylor is being celebrated on #Idol this eve. WOW. #BlackLivesMatter #ForBreonna #SayHerName #TheNextIdol 🖤💚❤,rt hestertainment breonna taylor celebrate idol eve wow blacklivesmatter forbreonna sayhername thenextidol
2,2,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…",rt adrblyferocious disturb amp sickening concern mount black people report racism flee ukraine score af
3,3,RT @joesteel80: Putin must have said the US invaded Mexico took over its territory but they worried about Russia invading #Ukraine .#BlackL…,rt joesteel putin must say us invade mexico take territory worry russia invade ukraine blackl
4,4,"ding... ding &amp; ding ding ding ding... Ding^ ding, ding ding! #PennState #BlackLivesMatter #JusticeForAll",ding ding amp ding ding ding ding ding ding ding ding pennstate blacklivesmatter justiceforall
5,5,RT @OldMainBell: ding ding ding ding^ ding ding. DING^ DING &amp; ding #PennState #BlackLivesMatter #JusticeForAll,rt oldmainbell ding ding ding ding ding ding ding ding amp ding pennstate blacklivesmatter justiceforall
6,6,"@taylorfagins @AmericanIdol @ABCNetwork @katyperry @LionelRichie @lukebryan @RyanSeacrest OMG!! I cried and felt every word of your song! My husband and I were riveted, along with the judges!  Beautiful song! Thank you! 🖤 #BlackLivesMatter ##BlackHistoryMonth",taylorfagins americanidol abcnetwork katyperry lionelrichie lukebryan ryanseacrest omg cry feel every word song husband rivet along judge beautiful song thank blacklivesmatter blackhistorymonth
7,7,RT @CBHeresy: #BlackLivesMatter is the woman who starts crying about her divorce at your father's funeral. https://t.co/fDujI2duJi,rt cbheresy blacklivesmatter woman start cry divorce father funeral httpstcofdujiduji
8,8,"Just bawling 😰🥺 at this very REAL and beautiful, masterfully written song by this young man, @taylorfagins on @AmericanIdol. Yes #WeNeedMore. Extremely Powerful. Wow. You should hear his song.

#BHM
#BreonnaTaylor 
#BlackLivesMatter",bawl real beautiful masterfully write song young man taylorfagin americanidol yes weneedmore extremely powerful wow hear song bhm breonnataylor blacklivesmatter
9,9,"#BlackLivesMatter
@Twitter
I raised a concern over Africans in Ukraine facing racism acts and you blocked me 

@UNSCO_MEPP @DefenceU @mfa_russia your doing a good job in Ukraine https://t.co/UXUN0sjklh",blacklivesmatter twitter raise concern africans ukraine face racism act block unscomepp defenceu mfarussia good job ukraine httpstcouxunsjklh
10,10,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…,rt empiremike simple black brother sister lock cat dog white allow flee safety
11,11,@taylorfagins That was simply breathtaking and heartbreaking 💔 all at the same time. #AmericanIdol #BlackLivesMatter,taylorfagin simply breathtake heartbreaking time americanidol blacklivesmatter
12,12,"RT @Rica28896175: Stop racism In Ukraine 🇺🇦 
Discrimination and antagonism isn’t the way. 
#BlackLivesMatter #AfricansinUkraine #NigeriansI…",rt rica stop racism ukraine discrimination antagonism be not way blacklivesmatter africansinukraine nigeriansi
13,13,"Angela Davis: ‘We knew the role of the police was to protect white supremacy’ #BlackHistoryMonth #cdnpolitics #cdnpoli #BlackLivesMatter #BlackTechTwitter #AfricansinUkraine 
https://t.co/Osjxv0wknf",angela davis know role police protect white supremacy blackhistorymonth cdnpolitics cdnpoli blacklivesmatter blacktechtwitter africansinukraine httpstcoosjxvwknf
14,14,"RT @Dirtyp254: I see no changes, all I see is racist faces
Misplaced hate makes disgrace to races
We under, I wonder what it takes to make…",rt dirtyp see change see racist face misplace hate make disgrace race wonder take make
15,15,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…",rt adrblyferocious disturb amp sickening concern mount black people report racism flee ukraine score af
16,16,"RT @PiytahSebastian: It gonna be worse than before, we are coming for you UKRAINE. 

#istandwithrussia 
 #BlackLivesMatter",rt piytahsebastian go to worse come ukraine istandwithrussia blacklivesmatter
17,17,"RT @Dirtyp254: I see no changes, all I see is racist faces
Misplaced hate makes disgrace to races
We under, I wonder what it takes to make…",rt dirtyp see change see racist face misplace hate make disgrace race wonder take make
18,18,@KimLoucks2 he's not awful he's amazing. Love his message he's singing about whats real #blacklivesmatter,kimloucks awful amazing love message singe what s real blacklivesmatter
19,19,Breonna Taylor is being celebrated on #Idol this eve. WOW. #BlackLivesMatter #ForBreonna #SayHerName #TheNextIdol 🖤💚❤,breonna taylor celebrate idol eve wow blacklivesmatter forbreonna sayhername thenextidol
20,20,Putin must have said the US invaded Mexico took over its territory but they worried about Russia invading #Ukraine .#BlackLivesMatter .#UkraineRussiaWar .#CancelCulture ..,putin must say us invade mexico take territory worry russia invade ukraine blacklivesmatter ukrainerussiawar cancelculture
21,21,"ya i stand with #BlackLivesMatter and that LGBTQ+ lives matter, got a problem with it? (aimed)",ya stand blacklivesmatter lgbtq live matter get problem aim
22,22,I love inspiring the youth 😍❤️ #Entrepreneur #BlackOwnedBusiness #BlackHistoryMonth #BlackLivesMatter https://t.co/pxtD2ulE7z,love inspire youth entrepreneur blackownedbusiness blackhistorymonth blacklivesmatter httpstcopxtdulez
23,23,"RT @YH_INDIA: Saw videos of Ukranian army treating #indianstudentsinukraine &amp; #AfricansinUkraine badly.

I mean are they really doing this…",rt yhindia see videos ukranian army treat indianstudentsinukraine amp africansinukraine badly mean really
24,24,"New oc! Roxxane:) I tried some filter cause I don’t like the original result
•
•
•
•
•
•
•
•
•
•
•
•
#digitalart 
#ibisPaintX 
#artistsontwitter 
#BlackLivesMatter 
#OC 
#aesthetic https://t.co/kyrjFwz0yl",new oc roxxane try filter cause do not like original result digitalart ibispaintx artistsontwitter blacklivesmatter oc aesthetic httpstcokyrjfwzyl
25,25,"RT @ericcoliu: @GilmoreGlenda explaining Jim Crow
to my freshman students
the gulf
between cries
of cicadas

Laurence Stacey https://t.co/w…",rt ericcoliu gilmoreglenda explain jim crow freshman student gulf cry cicadas laurence stacey httpstcow
26,26,"The news of #Ukraine doing partialities were coming before UNGC votes.
They are giving whites to escape first and forcing blacks n browns to stay .. One theory is also stating that they can use them as human shields or bargain safety passages. 

Anyone for #BlackLivesMatter",news ukraine partialitie come ungc vote give white escape first force black n brown stay one theory also state use human shield bargain safety passage anyone blacklivesmatter
27,27,RT @_SweatFitness: Survival is more important than the society.. Can't everyone just try and survive instead of being racist in war front??…,rt sweatfitness survival important society can not everyone try survive instead racist war front
28,28,"Why do cases of missing Black women rarely make US headlines? | TV Shows | Al Jazeera #cdnpolitics #AfricansinUkraine #BlackLivesMatter #BlackHistoryMonth #BlackTechTwitter 
https://t.co/7FEgY3MXmP via @AJEnglish",case miss black woman rarely make us headline tv show al jazeera cdnpolitics africansinukraine blacklivesmatter blackhistorymonth blacktechtwitter httpstcofegymxmp via ajenglish
29,29,RT @WhiskeyWellness: When we say systemic racism around the world this is what we’re talking about 🥺 How do we know where our donations go?…,rt whiskeywellness say systemic racism around world talk know donation go
30,30,"RT @michelletauber: Tireless @MomsDemand warriors for our community. Honoring #TrayvonMartin with action every day, in the birthplace of #B…",rt michelletauber tireless momsdemand warrior community honor trayvonmartin action every day birthplace b
31,31,"RT @MOREFIREBAND1: More Fire Band - mkhondo town performance 26 February 2022 black live matter 
#Reggaemusic #reggae #morefireband #livepe…",rt morefireband fire band mkhondo town performance february black live matter reggaemusic reggae morefireband livepe
32,32,"RT @ggiittiikkaa: Africans are not being allowed to escape from Ukraine, as it's priority for others to be safe first. EU countries are not…",rt ggiittiikkaa africans allow escape ukraine priority other safe first eu country
33,33,"RT @Aakankshit2004: Umm.... Just.... Wtf..... 
#BlackLivesMatter 
#UkraineRussiaCrisis https://t.co/lKLHdkAUeO",rt aakankshit umm wtf blacklivesmatter ukrainerussiacrisis httpstcolklhdkaueo
34,34,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…",rt adrblyferocious disturb amp sickening concern mount black people report racism flee ukraine score af
35,35,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…",rt adrblyferocious disturb amp sickening concern mount black people report racism flee ukraine score af
36,36,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…",rt adrblyferocious disturb amp sickening concern mount black people report racism flee ukraine score af
37,37,RT @WhiskeyWellness: When we say systemic racism around the world this is what we’re talking about 🥺 How do we know where our donations go?…,rt whiskeywellness say systemic racism around world talk know donation go
38,38,"It smells like #BlackLivesMatter tries to stick into the Ukrainian war trend. Fuck Racism! but I as see some black people are always trying to pretend themselfs as the victims for better priorities and attention 

#fuckrasism #UkrainianWar #Ukraine #trend #Twitter #NoToWar",smell like blacklivesmatter try stick ukrainian war trend fuck racism see black people always try pretend themselfs victim well priority attention fuckrasism ukrainianwar ukraine trend twitter notowar
39,39,RT @kaashington: Black People could not ever be considered Racist and “If” we are it’s because what we live @BravoTV what is going on with…,rt kaashington black people could ever consider racist live bravotv go
40,40,"Black History Character Spotlight Day Twenty Seven- Sojourner Mullein/Green Lantern 

Facebook Link 
https://t.co/bsbF6xluZP

#JBVersusTheWorld #JBSmith #SojournerMullein #GreenLantern #BlackHistoryMonth #BHM #BlackLivesMatter #RepresentationMatters https://t.co/kKhQysehyW https://t.co/HrUZaPqQvv",black history character spotlight day twenty seven sojourner mulleingreen lantern facebook link httpstcobsbfxluzp jbversustheworld jbsmith sojournermullein greenlantern blackhistorymonth bhm blacklivesmatter representationmatters httpstcokkhqysehyw httpstcohruzapqqvv
41,41,"RT @YH_INDIA: Saw videos of Ukranian army treating #indianstudentsinukraine &amp; #AfricansinUkraine badly.

I mean are they really doing this…",rt yhindia see videos ukranian army treat indianstudentsinukraine amp africansinukraine badly mean really
42,42,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…",rt adrblyferocious disturb amp sickening concern mount black people report racism flee ukraine score af
43,43,"Tens Of Thousands Of Black Women Vanish Each Year. This Website Tells Their Stories #cdnpolitics #stolensisters #BlackLivesMatter #BlackHistoryMonth #BlackTechTwitter #AfricansinUkraine 

https://t.co/mS1TGHHOQv",ten thousand black woman vanish year website tell story cdnpolitic stolensister blacklivesmatter blackhistorymonth blacktechtwitter africansinukraine httpstcomstghhoqv
44,44,"RT @michelletauber: Tireless @MomsDemand warriors for our community. Honoring #TrayvonMartin with action every day, in the birthplace of #B…",rt michelletauber tireless momsdemand warrior community honor trayvonmartin action every day birthplace b
45,45,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…,rt empiremike simple black brother sister lock cat dog white allow flee safety
46,46,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",rt africanarchive year ago today unarmed trayvon martin shoot dead george zimmerman fuel movement blac
47,47,Survival is more important than the society.. Can't everyone just try and survive instead of being racist in war front?? Ukrainian are doing it all wrong. #BlackLivesMatter #racism,survival important society can not everyone try survive instead racist war front ukrainian wrong blacklivesmatter racism
48,48,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…",rt zodiacdka ignorance history african lead brainwash westerner russia stand behind africa
49,49,"National Black History Month serves as both a celebration and a powerful reminder that Black history is American history, Black culture is American culture, and Black stories are essential to the ongoing story of America_ President Biden
#BlackLivesMatter #racism https://t.co/YVVrrVsPil",national black history month serve celebration powerful reminder black history american history black culture american culture black story essential ongoing story america president biden blacklivesmatter racism httpstcoyvvrrvspil
50,50,@choeshow @MayorofSeattle @downtownseattle @SeattlePD #BlackLivesMatter peace protest?,choeshow mayorofseattle downtownseattle seattlepd blacklivesmatter peace protest
51,51,"RT @michelletauber: Tireless @MomsDemand warriors for our community. Honoring #TrayvonMartin with action every day, in the birthplace of #B…",rt michelletauber tireless momsdemand warrior community honor trayvonmartin action every day birthplace b
52,52,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…",rt zodiacdka ignorance history african lead brainwash westerner russia stand behind africa
53,53,"Russian troops advance on Kyiv as Ukraine continues to resist 

https://t.co/7G9t9qbrNW  #HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow",russian troop advance kyiv ukraine continue resist httpstcogtqbrnw holocaustmemorialday mlk grenfelltower blacklivesmatter bidenharris oprahmeghanharry reparationsnow
54,54,"RT @chemos_hodavia: Africans being discriminated in Ukraine. So sad to see this
#racism #Ukraine #Blacklivesmatter https://t.co/V8dogPAAzR",rt chemoshodavia africans discriminate ukraine sad see racism ukraine blacklivesmatter httpstcovdogpaazr
55,55,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…,rt empiremike simple black brother sister lock cat dog white allow flee safety
56,56,"RT @fd_abeeer: Tweeters express their anger at the Ukrainian government, for preventing black people from leaving for Poland!!Again? Racism…",rt fdabeeer tweeters express anger ukrainian government prevent black people leave polandagain racism
57,57,"RT @BigSmallKe: If putin was an African leader, Nato  would have murdered him like Muammar Gaddafi 

#BlackLivesMatter
#RacistEU https://t.…",rt bigsmallke putin african leader nato would murder like muammar gaddafi blacklivesmatter racisteu httpst
58,58,@KellyCobiella shame on you racist #StopRacism #BlackLivesMatter #CNBC,kellycobiella shame racist stopracism blacklivesmatter cnbc
59,59,When @JennieNguyenLuv said “Everyone is capable of being racist.” I hope she included herself in that statement. Also it’s disgusting that she keeps condemning @Mary_M_Cosby when she said such hateful things against #BlackLivesMatter and black people. #RHOSLC,jennienguyenluv say everyone capable racist hope include statement also disgusting keep condemn marymcosby say hateful thing blacklivesmatter black people rhoslc
60,60,"RT @gregorydice: Sundays are for ELDEN RING.

WE ARE LIVE!

https://t.co/AZFY4lAoTT

#blacklivesmatter https://t.co/D8M3ulOLR2",rt gregorydice sunday elden ring live httpstcoazfylaott blacklivesmatter httpstcodmulolr
61,61,"Sundays are for ELDEN RING.

WE ARE LIVE!

https://t.co/AZFY4lAoTT

#blacklivesmatter https://t.co/D8M3ulOLR2",sundays elden ring live httpstcoazfylaott blacklivesmatter httpstcodmulolr
62,62,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…",rt zodiacdka ignorance history african lead brainwash westerner russia stand behind africa
63,63,"AUDIO: Can’t Black Lives Matter Too??? | Mprisondpoetz

#prison #prisonart #poet #jailpoetry #prisonerpoet #poetrycommunity #audio #blm #blacklivesmatter #blackexcellence #ados #poem

Follow us @Darealprisonart
https://t.co/qUp9Vli0Hg",audio can not black life matter mprisondpoetz prison prisonart poet jailpoetry prisonerpoet poetrycommunity audio blm blacklivesmatter blackexcellence ados poem follow us darealprisonart httpstcoqupvlihg
64,64,Black People could not ever be considered Racist and “If” we are it’s because what we live @BravoTV what is going on with #RHOSLC the Asian lady trying to get camera time on Mary calling a black woman racist and calling herself a woman of color this is a joke #BlackLivesMatter,black people could ever consider racist live bravotv go rhoslc asian lady try get camera time mary call black woman racist call woman color joke blacklivesmatter
65,65,"RT @CherylBlueWave: First, recognize white privilege and how it infairly benefits them. Then, set their privilege aside.

🔥 White Privilege…",rt cherylbluewave first recognize white privilege infairly benefit set privilege aside white privilege
66,66,"RT @YH_INDIA: Saw videos of Ukranian army treating #indianstudentsinukraine &amp; #AfricansinUkraine badly.

I mean are they really doing this…",rt yhindia see videos ukranian army treat indianstudentsinukraine amp africansinukraine badly mean really
67,67,How white women’s “investment” in slavery has shaped America today https://t.co/pPnd7q0Lx5 #cdnpolitics #BlackLivesMatter #blackowned #BlackTwitter #BlackTechTwitter #AfricansinUkraine #AfricansAndAfricanAmericans #africanInUkraine #slavery #racism #humantrafficking #HumanRights,white womens investment slavery shape america today httpstcoppndqlx cdnpolitics blacklivesmatter blackowne blacktwitter blacktechtwitter africansinukraine africansandafricanamericans africaninukraine slavery racism humantrafficking humanright
68,68,RT @PrentonTommy: Here are some facts that expose your #BlackLivesMatter sham https://t.co/OAliNHw1Oa,rt prentontommy fact expose blacklivesmatter sham httpstcooalinhwoa
69,69,"Do you know that Florida led the nation in number of lynching for over a decade? Dr. Butler shares that and other #blackhistory stories on Strong Inspirations #blackhistory #blackhistorymonth #BlackLivesMatter #Blackhistorymonth2022 @AfricanaCarr 
https://t.co/fOsg4jJSQh",know florida lead nation number lynching decade dr butler share blackhistory story strong inspirations blackhistory blackhistorymonth blacklivesmatter blackhistorymonth africanacarr httpstcofosgjjsqh
70,70,Defund the Jericho Police #BlackLivesMatter #DefundThePolice,defund jericho police blacklivesmatter defundthepolice
71,71,"RT @CherylBlueWave: First, recognize white privilege and how it infairly benefits them. Then, set their privilege aside.

🔥 White Privilege…",rt cherylbluewave first recognize white privilege infairly benefit set privilege aside white privilege
72,72,"RT @DistrictBmore: Join us tomorrow, Monday February 28, 2022 as we have a conversation with the co-founder of @ngbiwm The National Great B…",rt districtbmore join us tomorrow monday february conversation cofounder ngbiwm national great b
73,73,"RT @DistrictBmore: Join us tomorrow, Monday February 28, 2022 as we have a conversation with the co-founder of @ngbiwm The National Great B…",rt districtbmore join us tomorrow monday february conversation cofounder ngbiwm national great b
74,74,RT @Speech__: https://t.co/qLTWgxwtLE💥💥🙌🏽🙌🏽 2022 TOUR DATES AROUND THE WORLD! #arresteddevelopment #blacklivesmatter #dontfightyourdemons #…,rt speech httpstcoqltwgxwtle tour date around world arresteddevelopment blacklivesmatter dontfightyourdemon
75,75,"It gonna be worse than before, we are coming for you UKRAINE. 

#istandwithrussia 
 #BlackLivesMatter",go to worse come ukraine istandwithrussia blacklivesmatter
76,76,"RT @PrentonTommy: ""The #BlackLivesMatter    movement is the greatest lie ever told,"" 👇 https://t.co/evK5DCO0cw",rt prentontommy blacklivesmatter movement great lie ever tell httpstcoevkdcocw
77,77,"@TiCkToCkcLoC @mommy97giraffe Right?!? Fuck. #BlackLivesMatter always, and EVERYWHERE.",ticktockcloc mommygiraffe right fuck blacklivesmatter always everywhere
78,78,"📢📣⚠️➡️ #TrayvonMartin 👑🕊Up to 18,000 killed under stand-your-ground laws since 2012. Why has nothing changed? | The Independent #JusticeforTrayvonMartin 👑🕊#SayTheirNames 👑 KNOWN 👑🕊UNKNOWN 👑🕊 #BlackLivesMatter  https://t.co/cR4NRft8LA",trayvonmartin kill standyourground law since nothing change independent justicefortrayvonmartin saytheirname know unknown blacklivesmatter httpstcocrnrftla
79,79,"RT @jjlynn5110_jo: I can't explain my #emotions right now. 
#BlackLivesMatter is our everyday!🤎♥️🤎
I'm so grateful we can celebrate ourselv…",rt jjlynnjo can not explain emotion right blacklivesmatter everyday grateful celebrate ourselv
80,80,"Join us tomorrow, Monday February 28, 2022 as we have a conversation with the co-founder of @ngbiwm The National Great Blacks In Wax Museum, Dr. Joanne Martin about the importance of preserving and celebrating black history.
#BHM2022 #BlackLivesMatter  #mybmore https://t.co/h7PnuPv5kK",join us tomorrow monday february conversation cofounder ngbiwm national great blacks wax museum dr joanne martin importance preserve celebrate black history bhm blacklivesmatter mybmore httpstcohpnupvkk
81,81,RT @CCGarriseauxn: Happy Fourth and Final Black History Month Sunday 2022. I Love You. God Bless You ❤️❤️❤️👑❤🖤💚❤🖤💚👑❤️❤️❤️ #HappyBlackHistor…,rt ccgarriseauxn happy fourth final black history month sunday love god bless happyblackhistor
82,82,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…",rt zodiacdka ignorance history african lead brainwash westerner russia stand behind africa
83,83,"I cannot stand with anyone until Black people are treated like human beings — with dignity and respect. 

If you know of any organizations, etc. to help Black people find refuge in/out of Ukraine, please let me know. This is so disheartening. 
#AfricansinUkraine #BlackLivesMatter",can not stand anyone black people treat like human being dignity respect know organization etc help black people find refuge inout ukraine please let know dishearten africansinukraine blacklivesmatter
84,84,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",rt mrandyngo san francisco thief break business steal around cigarette broad daylight hide b
85,85,"Emantic ""EJ"" Fitzgerald Bradford Jr. #BlackLivesMatter",emantic ej fitzgerald bradford jr blacklivesmatter
86,86,"Join us tomorrow, Monday February 28, 2022 as we have a conversation with the co-founder of @ngbiwm The National Great Blacks In Wax Museum, Dr. Joanne Martin about the importance of preserving and celebrating black history.

#BlackHistoryMonth #BlackLivesMatter #mybmore https://t.co/y8wmZSbhQb",join us tomorrow monday february conversation cofounder ngbiwm national great blacks wax museum dr joanne martin importance preserve celebrate black history blackhistorymonth blacklivesmatter mybmore httpstcoywmzsbhqb
87,87,"Weekday Mornings 8am PT on @nbcnews radio station @kcaaradio AM 1050 FM 102.3 106.5 https://t.co/2PdU22ETRy Or FREE SUBSCRIBE https://t.co/ufvnEdnyNq
#solutions #whatsrightabouttheworld #happy88 #blacklivesmatter #BlackHistoryMonth #drmarissareportinglive",weekday morning pt nbcnews radio station kcaaradio fm httpstcopduetry free subscribe httpstcoufvnednynq solutions whatsrightabouttheworld happy blacklivesmatter blackhistorymonth drmarissareportinglive
88,88,RT @CaptainM_38: I think Ukraine must be nuked. Because they are not treating well with blacks and indians. #Putin #Africans  #UkraineRussi…,rt captainm think ukraine must nuked treat well black indians putin africans ukrainerussi
89,89,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…,rt empiremike simple black brother sister lock cat dog white allow flee safety
90,90,"RT @SamBerretti: #SundayThoughts :: #SundayVibes
#BlackHistoryMonth 
Although we all vaguely know about the Egyptians, not many know about…",rt samberretti sundaythought sundayvibe blackhistorymonth although vaguely know egyptian many know
91,91,"RT @CUmeberechukwu: #NigeriaInvasion: Why the World Attention is on Ukraine, the #Nigeria State Invaded BIAFRA. The World Won't Talk about…",rt cumeberechukwu nigeriainvasion world attention ukraine nigeria state invade biafra world will not talk
92,92,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…",rt adrblyferocious disturb amp sickening concern mount black people report racism flee ukraine score af
93,93,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…",rt zodiacdka ignorance history african lead brainwash westerner russia stand behind africa
94,94,RT @CaptainM_38: I think Ukraine must be nuked. Because they are not treating well with blacks and indians. #Putin #Africans  #UkraineRussi…,rt captainm think ukraine must nuked treat well black indians putin africans ukrainerussi
95,95,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",rt africanarchive year ago today unarmed trayvon martin shoot dead george zimmerman fuel movement blac
96,96,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",rt mrandyngo san francisco thief break business steal around cigarette broad daylight hide b
97,97,Happy Fourth and Final Black History Month Sunday 2022. I Love You. God Bless You ❤️❤️❤️👑❤🖤💚❤🖤💚👑❤️❤️❤️ #HappyBlackHistoryMonth #BlackHistoryMonth #BHM #BlackHistoryIsAmericanHistory #BlackHistory365 #365Black #BlackIsBeautiful #BeautifulIsBlack #BlackLivesMatter #BLM https://t.co/8Ek4D6ZY6e,happy fourth final black history month sunday love god bless happyblackhistorymonth blackhistorymonth bhm blackhistoryisamericanhistory blackhistory black blackisbeautiful beautifulisblack blacklivesmatter blm httpstcoekdzye
98,98,"I can't explain my #emotions right now. 
#BlackLivesMatter is our everyday!🤎♥️🤎
I'm so grateful we can celebrate ourselves in such deep evolving journey; it's hard but we're worth it! 

#Love #Soul #Peace #BlackPeople 

Summer of Soul Summer of Soul https://t.co/XprZBXZlEx",can not explain emotion right blacklivesmatter everyday grateful celebrate deep evolve journey hard worth love soul peace blackpeople summer soul summer soul httpstcoxprzbxzlex
99,99,"RT @fd_abeeer: Tweeters express their anger at the Ukrainian government, for preventing black people from leaving for Poland!!Again? Racism…",rt fdabeeer tweeters express anger ukrainian government prevent black people leave polandagain racism
100,100,"RT @PrentonTommy: ""The #BlackLivesMatter    movement is the greatest lie ever told,"" 👇 https://t.co/evK5DCO0cw",rt prentontommy blacklivesmatter movement great lie ever tell httpstcoevkdcocw
101,101,RT @Speech__: https://t.co/qLTWgxwtLE💥💥🙌🏽🙌🏽 2022 TOUR DATES AROUND THE WORLD! #arresteddevelopment #blacklivesmatter #dontfightyourdemons #…,rt speech httpstcoqltwgxwtle tour date around world arresteddevelopment blacklivesmatter dontfightyourdemon
102,102,"RT @CherylBlueWave: First, recognize white privilege and how it infairly benefits them. Then, set their privilege aside.

🔥 White Privilege…",rt cherylbluewave first recognize white privilege infairly benefit set privilege aside white privilege
103,103,"RT @fd_abeeer: Tweeters express their anger at the Ukrainian government, for preventing black people from leaving for Poland!!Again? Racism…",rt fdabeeer tweeters express anger ukrainian government prevent black people leave polandagain racism
104,104,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…",rt adrblyferocious disturb amp sickening concern mount black people report racism flee ukraine score af
105,105,"@powriho @supersaunik @bhak_sala Odd day :
Welcomed talent irrespective of Nationality 
Even day:
#BlackLivesMatter 
#AsianLivesMatter

US ki chutiyapa 😂😂",powriho supersaunik bhaksala odd day welcome talent irrespective nationality even day blacklivesmatter asianlivesmatter us ki chutiyapa
106,106,"RT @AfricanArchives: 10 years ago today, at only 17, an unarmed Trayvon Martin was shot dead by George Zimmerman, fueling a movement. #Blac…",rt africanarchive year ago today unarmed trayvon martin shoot dead george zimmerman fuel movement blac
107,107,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…,rt empiremike simple black brother sister lock cat dog white allow flee safety
108,108,"RT @ASJ_CG: FREE #Action #Thriller #Ebook

The #ChroniclesOfAHumbleHitter 🔥 series based out of #Oregon
#mustread #Original #bookseries 
#B…",rt asjcg free action thriller ebook chroniclesofahumblehitter series base oregon mustread original bookserie b
109,109,"@supersaunik @bhak_sala Odd day :
Welcomed talent irrespective of Nationality 
Even day:
#BlackLivesMatter 

US is communist, imperialist, facist wearing democracy as democracy that's how they are powerful.",supersaunik bhaksala odd day welcome talent irrespective nationality even day blacklivesmatter us communist imperialist facist wear democracy democracy powerful
110,110,"#BlackLivesMatter 
WE MUST NEVER FORGET ✊🏿💯 THE BLACK HOLOCAUST 💯 #BlackHistoryMonth #BlackHistory #BlackLivesMatter https://t.co/rLLlHOOvYE",blacklivesmatter must never forget black holocaust blackhistorymonth blackhistory blacklivesmatter httpstcorlllhoovye
111,111,I think Ukraine must be nuked. Because they are not treating well with blacks and indians. #Putin #Africans  #UkraineRussiaWar #racism #BlackLivesMatter #indianstudents #nuclearbomb #Ukraine #Russian,think ukraine must nuked treat well black indians putin africans ukrainerussiawar racism blacklivesmatter indianstudent nuclearbomb ukraine russian
112,112,RT @ISASaxonists: Come along as we celebrate Black men and women who have contributed to academia. This month we are going to honor these b…,rt isasaxonist come along celebrate black man woman contribute academia month go honor b
113,113,"RT @CUmeberechukwu: #NigeriaInvasion: Why the World Attention is on Ukraine, the #Nigeria State Invaded BIAFRA. The World Won't Talk about…",rt cumeberechukwu nigeriainvasion world attention ukraine nigeria state invade biafra world will not talk
